"","sparsity_threshold","Day","Treatment","OTU","log2FoldChange","p","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8","padj"
"5",0.55,30,"13CCSS","OTU.382",2.98335741040779,1.37009227870565e-07,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Flexibacter","uncultured_Bacteroidetes_bacterium",NA,4.32949160070986e-05
"9",0.55,30,"13CCSS","OTU.525",1.90206654252395,0.00210101346106626,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Cytophaga","uncultured_bacterium",NA,0.0577321959736467
"53",0.55,30,"13CCSS","OTU.285",2.51722572144876,4.65532780316244e-05,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Pir4_lineage","uncultured_planctomycete",NA,0.00196144478106577
"271",0.55,30,"13CCSS","OTU.169",2.39096343343903,1.38711139273762e-05,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystineae","Haliangiaceae","Haliangium","uncultured_bacterium",0.000730545333508482
"283",0.55,30,"13CCSS","OTU.5680",2.82917250474943,6.67640119285918e-06,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sorangiineae","uncultured","uncultured_bacterium",NA,0.0004219485553887
"284",0.55,30,"13CCSS","OTU.442",1.85488932700475,0.00458354755491374,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sorangiineae","uncultured","uncultured_bacterium",NA,0.0998897260243271
"328",0.55,30,"13CCSS","OTU.19",1.85650586531733,0.00139876412340593,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA,NA,0.0420961393329786
"344",0.55,30,"13CCSS","OTU.766",2.36067397569468,2.27457816011671e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia","uncultured_bacterium",NA,0.00110579492091828
"350",0.55,30,"13CCSS","OTU.89",2.61916722954009,1.40460761476686e-06,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,NA,0.00012681600179038
"355",0.55,30,"13CCSS","OTU.17",1.79417065794517,0.00241313599332254,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","uncultured_bacterium",NA,0.0635459144908268
"356",0.55,30,"13CCSS","OTU.38",1.82197955411042,0.000200220327052514,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,NA,0.00702995814984383
"359",0.55,30,"13CCSS","OTU.20",1.6616327776288,0.00209451841863637,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","uncultured_bacterium",NA,0.0577321959736467
"360",0.55,30,"13CCSS","OTU.2294",1.65497825589724,0.00445958422786613,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","uncultured_bacterium",NA,0.0998897260243271
"364",0.55,30,"13CCSS","OTU.1414",1.86886377997142,0.00323713001938218,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,NA,0.078687160471136
"366",0.55,30,"13CCSS","OTU.73",1.9474744160431,0.00108049174481016,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","uncultured",NA,NA,0.0341435391360009
"376",0.55,30,"13CCSS","OTU.206",2.30736830573463,6.06873330015482e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","MNG7","uncultured_bacterium",NA,NA,0.00239714965356115
