OTU,shift,Day,Treatment
OTU.759,0.016288475508184463,3,13CCPS
OTU.758,0.001141822958153016,3,13CCPS
OTU.757,0.020047558809526134,3,13CCPS
OTU.756,-0.016353509839204028,3,13CCPS
OTU.5419,-0.0037330175263154963,3,13CCPS
OTU.839,-0.02304774300177126,3,13CCPS
OTU.1968,0.004610548420559191,3,13CCPS
OTU.1969,,3,13CCPS
OTU.1964,0.00873009325459817,3,13CCPS
OTU.1965,,3,13CCPS
OTU.1966,,3,13CCPS
OTU.1967,,3,13CCPS
OTU.1960,,3,13CCPS
OTU.1961,0.00668974486814311,3,13CCPS
OTU.1962,,3,13CCPS
OTU.1963,,3,13CCPS
OTU.5069,,3,13CCPS
OTU.5068,,3,13CCPS
OTU.5065,0.001185656219673481,3,13CCPS
OTU.5064,,3,13CCPS
OTU.5067,,3,13CCPS
OTU.5066,,3,13CCPS
OTU.5061,,3,13CCPS
OTU.5060,-0.004792551922956578,3,13CCPS
OTU.5063,,3,13CCPS
OTU.5062,,3,13CCPS
OTU.832,-0.011849059949007312,3,13CCPS
OTU.833,0.007682873152425884,3,13CCPS
OTU.4338,,3,13CCPS
OTU.4339,,3,13CCPS
OTU.4336,,3,13CCPS
OTU.4337,,3,13CCPS
OTU.4334,,3,13CCPS
OTU.4335,,3,13CCPS
OTU.4332,,3,13CCPS
OTU.4333,,3,13CCPS
OTU.4330,,3,13CCPS
OTU.4331,,3,13CCPS
OTU.830,-0.010320593791793176,3,13CCPS
OTU.1379,0.01899659600082826,3,13CCPS
OTU.1378,-0.02879665105718754,3,13CCPS
OTU.1371,0.008108516491534434,3,13CCPS
OTU.1370,0.022727157865486403,3,13CCPS
OTU.1373,,3,13CCPS
OTU.1372,,3,13CCPS
OTU.1375,,3,13CCPS
OTU.1374,0.02747936798019368,3,13CCPS
OTU.1377,,3,13CCPS
OTU.1376,,3,13CCPS
OTU.831,-0.010447388699558857,3,13CCPS
OTU.836,-0.019556933364630824,3,13CCPS
OTU.837,0.0026900253422468268,3,13CCPS
OTU.834,-0.003170906125083306,3,13CCPS
OTU.4459,,3,13CCPS
OTU.1138,,3,13CCPS
OTU.835,0.004984653886847656,3,13CCPS
OTU.1133,-0.01908993176186935,3,13CCPS
OTU.3209,,3,13CCPS
OTU.3208,,3,13CCPS
OTU.3207,,3,13CCPS
OTU.3206,,3,13CCPS
OTU.3205,,3,13CCPS
OTU.3204,0.019369182369832094,3,13CCPS
OTU.3203,,3,13CCPS
OTU.3202,,3,13CCPS
OTU.3201,,3,13CCPS
OTU.3200,,3,13CCPS
OTU.2002,,3,13CCPS
OTU.2003,0.0007406421836084753,3,13CCPS
OTU.2000,,3,13CCPS
OTU.2001,0.0183281923363654,3,13CCPS
OTU.2006,,3,13CCPS
OTU.2007,-0.014550669529012517,3,13CCPS
OTU.2004,,3,13CCPS
OTU.2005,-0.0012122197990145356,3,13CCPS
OTU.2558,,3,13CCPS
OTU.2559,,3,13CCPS
OTU.2008,-0.009460361222508817,3,13CCPS
OTU.2009,,3,13CCPS
OTU.292,-0.0045704194955840105,3,13CCPS
OTU.293,0.0010683660166863618,3,13CCPS
OTU.290,-0.0030576980070882165,3,13CCPS
OTU.291,-0.004903091473158705,3,13CCPS
OTU.4455,,3,13CCPS
OTU.1134,,3,13CCPS
OTU.748,-0.005906662863289336,3,13CCPS
OTU.749,-0.012576693890927748,3,13CCPS
OTU.740,0.006640119187754534,3,13CCPS
OTU.741,0.003775988538603947,3,13CCPS
OTU.742,-0.008655648811632721,3,13CCPS
OTU.743,-0.005425896368960403,3,13CCPS
OTU.744,0.011914555396251636,3,13CCPS
OTU.745,-0.02329012874726355,3,13CCPS
OTU.746,0.004867208816152546,3,13CCPS
OTU.747,0.0026310565079128434,3,13CCPS
OTU.1446,,3,13CCPS
OTU.5517,,3,13CCPS
OTU.3838,,3,13CCPS
OTU.3839,,3,13CCPS
OTU.3834,,3,13CCPS
OTU.3835,,3,13CCPS
OTU.3836,,3,13CCPS
OTU.3837,,3,13CCPS
OTU.3830,,3,13CCPS
OTU.3831,,3,13CCPS
OTU.3832,,3,13CCPS
OTU.3833,,3,13CCPS
OTU.6027,,3,13CCPS
OTU.1253,0.009488132415080397,3,13CCPS
OTU.5432,,3,13CCPS
OTU.2353,-0.001506310216401241,3,13CCPS
OTU.2350,-0.01773989100398654,3,13CCPS
OTU.2351,,3,13CCPS
OTU.2424,,3,13CCPS
OTU.2425,,3,13CCPS
OTU.5313,,3,13CCPS
OTU.5312,,3,13CCPS
OTU.5311,,3,13CCPS
OTU.5866,-0.014611322529888504,3,13CCPS
OTU.5317,,3,13CCPS
OTU.2426,,3,13CCPS
OTU.5315,,3,13CCPS
OTU.5314,,3,13CCPS
OTU.5319,,3,13CCPS
OTU.149,-0.003953065887194018,3,13CCPS
OTU.5869,0.00626857272218917,3,13CCPS
OTU.5868,,3,13CCPS
OTU.3844,,3,13CCPS
OTU.146,-0.0027515019270880625,3,13CCPS
OTU.147,0.0044841535508453045,3,13CCPS
OTU.4811,,3,13CCPS
OTU.5439,,3,13CCPS
OTU.142,-0.005795624588430304,3,13CCPS
OTU.143,0.0017769035535832867,3,13CCPS
OTU.140,-0.0022032143616419475,3,13CCPS
OTU.141,0.001712971256604856,3,13CCPS
OTU.5934,,3,13CCPS
OTU.1524,0.0027060279448725133,3,13CCPS
OTU.1525,,3,13CCPS
OTU.1526,,3,13CCPS
OTU.1527,,3,13CCPS
OTU.1520,,3,13CCPS
OTU.1521,,3,13CCPS
OTU.1522,-0.034995513307875425,3,13CCPS
OTU.1523,,3,13CCPS
OTU.1528,0.02188288826633178,3,13CCPS
OTU.1529,-0.027582277462471883,3,13CCPS
OTU.3018,,3,13CCPS
OTU.3019,,3,13CCPS
OTU.3548,,3,13CCPS
OTU.3549,,3,13CCPS
OTU.3012,,3,13CCPS
OTU.3013,,3,13CCPS
OTU.3546,,3,13CCPS
OTU.3547,0.005459891964188834,3,13CCPS
OTU.3540,0.005053554770024782,3,13CCPS
OTU.3541,,3,13CCPS
OTU.3014,,3,13CCPS
OTU.3015,,3,13CCPS
OTU.199,-0.0036867308879069416,3,13CCPS
OTU.198,-0.009233563603513018,3,13CCPS
OTU.195,0.004817176770734122,3,13CCPS
OTU.194,-0.008574317373252649,3,13CCPS
OTU.197,-0.0120559818857926,3,13CCPS
OTU.196,0.009712568376078812,3,13CCPS
OTU.191,-0.009213764240658673,3,13CCPS
OTU.190,0.008542022377521663,3,13CCPS
OTU.193,-0.0018184159855294535,3,13CCPS
OTU.192,0.0041534677635959305,3,13CCPS
OTU.2923,,3,13CCPS
OTU.995,0.021372963446436133,3,13CCPS
OTU.994,-0.022922722238144955,3,13CCPS
OTU.997,0.01263680378387333,3,13CCPS
OTU.996,-0.002389017971885732,3,13CCPS
OTU.991,-0.009019499060296976,3,13CCPS
OTU.990,-0.005412175320750556,3,13CCPS
OTU.993,0.016273886138608917,3,13CCPS
OTU.992,-0.0010194842381352487,3,13CCPS
OTU.999,0.0322781011697586,3,13CCPS
OTU.998,-0.0008764511223886551,3,13CCPS
OTU.915,-0.016579789666209654,3,13CCPS
OTU.914,-0.011841498099897985,3,13CCPS
OTU.2769,-0.0060619681601823405,3,13CCPS
OTU.2768,,3,13CCPS
OTU.2763,,3,13CCPS
OTU.2762,0.0016019518246102038,3,13CCPS
OTU.2761,,3,13CCPS
OTU.2760,,3,13CCPS
OTU.2767,0.010806256191901786,3,13CCPS
OTU.2766,,3,13CCPS
OTU.2765,,3,13CCPS
OTU.2764,,3,13CCPS
OTU.917,-0.00234642041055233,3,13CCPS
OTU.1942,,3,13CCPS
OTU.1943,,3,13CCPS
OTU.1940,,3,13CCPS
OTU.1941,,3,13CCPS
OTU.1946,,3,13CCPS
OTU.1947,,3,13CCPS
OTU.1944,,3,13CCPS
OTU.1945,,3,13CCPS
OTU.1948,-0.0011837750674941194,3,13CCPS
OTU.1949,0.009666026875353895,3,13CCPS
OTU.2927,,3,13CCPS
OTU.6031,,3,13CCPS
OTU.5083,,3,13CCPS
OTU.5082,-0.038050048504391976,3,13CCPS
OTU.5081,,3,13CCPS
OTU.5080,,3,13CCPS
