OTU,shift,Day,Treatment
OTU.759,0.007532155,30,13CCPS
OTU.758,-0.002040173,30,13CCPS
OTU.757,-0.017384451,30,13CCPS
OTU.756,-0.015844569,30,13CCPS
OTU.5419,0.006751877,30,13CCPS
OTU.839,,30,13CCPS
OTU.1968,-0.012578331,30,13CCPS
OTU.1969,,30,13CCPS
OTU.1964,-0.00314436,30,13CCPS
OTU.1965,,30,13CCPS
OTU.1966,,30,13CCPS
OTU.1967,,30,13CCPS
OTU.1960,,30,13CCPS
OTU.1961,,30,13CCPS
OTU.1962,,30,13CCPS
OTU.1963,-0.003390764,30,13CCPS
OTU.5069,,30,13CCPS
OTU.5068,,30,13CCPS
OTU.5065,0.005135871,30,13CCPS
OTU.5064,,30,13CCPS
OTU.5067,,30,13CCPS
OTU.5066,,30,13CCPS
OTU.5061,,30,13CCPS
OTU.5060,0.0022908,30,13CCPS
OTU.5063,,30,13CCPS
OTU.5062,,30,13CCPS
OTU.832,0.022050369,30,13CCPS
OTU.833,0.008509335,30,13CCPS
OTU.4338,,30,13CCPS
OTU.4339,,30,13CCPS
OTU.4336,,30,13CCPS
OTU.4337,,30,13CCPS
OTU.4334,,30,13CCPS
OTU.4335,,30,13CCPS
OTU.4332,,30,13CCPS
OTU.4333,,30,13CCPS
OTU.4330,,30,13CCPS
OTU.4331,,30,13CCPS
OTU.830,-0.008284688,30,13CCPS
OTU.1379,,30,13CCPS
OTU.1378,-0.005236563,30,13CCPS
OTU.1371,-0.001520405,30,13CCPS
OTU.1370,0.010477075,30,13CCPS
OTU.1373,0.002347501,30,13CCPS
OTU.1372,0.012788654,30,13CCPS
OTU.1375,0.012525414,30,13CCPS
OTU.1374,0.023528318,30,13CCPS
OTU.1377,0.009682217,30,13CCPS
OTU.1376,0.010459435,30,13CCPS
OTU.831,0.001965828,30,13CCPS
OTU.836,-0.001390839,30,13CCPS
OTU.837,-0.004453231,30,13CCPS
OTU.834,-0.001359922,30,13CCPS
OTU.4459,,30,13CCPS
OTU.1138,,30,13CCPS
OTU.835,,30,13CCPS
OTU.1133,-0.001463118,30,13CCPS
OTU.3209,,30,13CCPS
OTU.3208,,30,13CCPS
