OTU,shift,Day,Treatment
OTU.759,-0.014249591009457108,30,13CCSS
OTU.758,-0.0006618841555379174,30,13CCSS
OTU.757,-0.008288031169255916,30,13CCSS
OTU.756,0.005837519202223085,30,13CCSS
OTU.5419,-0.010535831290004571,30,13CCSS
OTU.839,0.012382900219972015,30,13CCSS
OTU.1968,-0.00959741050172691,30,13CCSS
OTU.1969,,30,13CCSS
OTU.1964,0.006937053426479656,30,13CCSS
OTU.1965,0.024476426614827407,30,13CCSS
OTU.1966,0.021531146280638458,30,13CCSS
OTU.1967,0.03320007215669385,30,13CCSS
OTU.1960,,30,13CCSS
OTU.1961,0.022911489900497628,30,13CCSS
OTU.1962,,30,13CCSS
OTU.1963,0.01767501997100518,30,13CCSS
OTU.5069,,30,13CCSS
OTU.5068,,30,13CCSS
OTU.5065,0.004960576609427392,30,13CCSS
OTU.5064,-0.054510391925261414,30,13CCSS
OTU.5067,,30,13CCSS
OTU.5066,,30,13CCSS
OTU.5061,,30,13CCSS
OTU.5060,-0.000721644919930764,30,13CCSS
OTU.5063,,30,13CCSS
OTU.5062,,30,13CCSS
OTU.832,0.007384435745145135,30,13CCSS
OTU.833,-0.008738513515152757,30,13CCSS
OTU.4338,,30,13CCSS
OTU.4339,0.03485222503607388,30,13CCSS
OTU.4336,-0.0024157602268757294,30,13CCSS
OTU.4337,,30,13CCSS
OTU.4334,,30,13CCSS
OTU.4335,,30,13CCSS
OTU.4332,,30,13CCSS
OTU.4333,,30,13CCSS
OTU.4330,,30,13CCSS
OTU.4331,-0.00017865258248339622,30,13CCSS
OTU.830,-0.0135355267874262,30,13CCSS
OTU.1379,-0.024163047280051142,30,13CCSS
OTU.1378,-0.015995763386712714,30,13CCSS
OTU.1371,-0.009217618309040887,30,13CCSS
OTU.1370,0.012105942842974837,30,13CCSS
OTU.1373,0.034123145271897304,30,13CCSS
OTU.1372,0.029697894248306822,30,13CCSS
OTU.1375,0.0030583419034744264,30,13CCSS
OTU.1374,0.03415669745917471,30,13CCSS
OTU.1377,-0.05475358588622781,30,13CCSS
OTU.1376,0.02310481899245853,30,13CCSS
OTU.831,-0.020669937120399107,30,13CCSS
OTU.836,0.000866988439353511,30,13CCSS
OTU.837,-0.01440038396622434,30,13CCSS
OTU.834,-0.004455231906938417,30,13CCSS
OTU.4459,0.028908705726171435,30,13CCSS
OTU.1138,0.01365152380602419,30,13CCSS
OTU.835,0.004528039018135921,30,13CCSS
OTU.1133,0.00010833712252167338,30,13CCSS
OTU.3209,,30,13CCSS
OTU.3208,0.021797302761678017,30,13CCSS
OTU.3207,0.0030648191367042,30,13CCSS
OTU.3206,,30,13CCSS
OTU.3205,0.001316549090136121,30,13CCSS
OTU.3204,-0.000942061890327528,30,13CCSS
OTU.3203,-0.010781587992145347,30,13CCSS
OTU.3202,,30,13CCSS
OTU.3201,0.003963829317272127,30,13CCSS
OTU.3200,0.03926973882763263,30,13CCSS
OTU.2002,0.035224832344652235,30,13CCSS
OTU.2003,-0.002572040934472275,30,13CCSS
OTU.2000,,30,13CCSS
OTU.2001,-0.002234372890886016,30,13CCSS
OTU.2006,,30,13CCSS
OTU.2007,,30,13CCSS
OTU.2004,-0.019874681848294218,30,13CCSS
OTU.2005,0.016258776278500697,30,13CCSS
OTU.2558,0.025940972210230617,30,13CCSS
OTU.2559,-0.0007647655593516767,30,13CCSS
OTU.2008,0.015377692380140084,30,13CCSS
OTU.2009,,30,13CCSS
OTU.292,-0.011776662471159494,30,13CCSS
OTU.293,0.020383205260605664,30,13CCSS
