"","OTU","shift","Day","Treatment"
"1","OTU.759",0.007532155,30,"13CCPS"
"2","OTU.758",-0.002040173,30,"13CCPS"
"3","OTU.757",-0.017384451,30,"13CCPS"
"4","OTU.756",-0.015844569,30,"13CCPS"
"5","OTU.5419",0.006751877,30,"13CCPS"
"6","OTU.839",NA,30,"13CCPS"
"7","OTU.1968",-0.012578331,30,"13CCPS"
"8","OTU.1969",NA,30,"13CCPS"
"9","OTU.1964",-0.00314436,30,"13CCPS"
"10","OTU.1965",NA,30,"13CCPS"
"11","OTU.1966",NA,30,"13CCPS"
"12","OTU.1967",NA,30,"13CCPS"
"13","OTU.1960",NA,30,"13CCPS"
"14","OTU.1961",NA,30,"13CCPS"
"15","OTU.1962",NA,30,"13CCPS"
"16","OTU.1963",-0.003390764,30,"13CCPS"
"17","OTU.5069",NA,30,"13CCPS"
"18","OTU.5068",NA,30,"13CCPS"
"19","OTU.5065",0.005135871,30,"13CCPS"
"20","OTU.5064",NA,30,"13CCPS"
"21","OTU.5067",NA,30,"13CCPS"
"22","OTU.5066",NA,30,"13CCPS"
"23","OTU.5061",NA,30,"13CCPS"
"24","OTU.5060",0.0022908,30,"13CCPS"
"25","OTU.5063",NA,30,"13CCPS"
"26","OTU.5062",NA,30,"13CCPS"
"27","OTU.832",0.022050369,30,"13CCPS"
"28","OTU.833",0.008509335,30,"13CCPS"
"29","OTU.4338",NA,30,"13CCPS"
"30","OTU.4339",NA,30,"13CCPS"
"31","OTU.4336",NA,30,"13CCPS"
"32","OTU.4337",NA,30,"13CCPS"
"33","OTU.4334",NA,30,"13CCPS"
"34","OTU.4335",NA,30,"13CCPS"
"35","OTU.4332",NA,30,"13CCPS"
"36","OTU.4333",NA,30,"13CCPS"
"37","OTU.4330",NA,30,"13CCPS"
"38","OTU.4331",NA,30,"13CCPS"
"39","OTU.830",-0.008284688,30,"13CCPS"
"40","OTU.1379",NA,30,"13CCPS"
"41","OTU.1378",-0.005236563,30,"13CCPS"
"42","OTU.1371",-0.001520405,30,"13CCPS"
"43","OTU.1370",0.010477075,30,"13CCPS"
"44","OTU.1373",0.002347501,30,"13CCPS"
"45","OTU.1372",0.012788654,30,"13CCPS"
"46","OTU.1375",0.012525414,30,"13CCPS"
"47","OTU.1374",0.023528318,30,"13CCPS"
"48","OTU.1377",0.009682217,30,"13CCPS"
"49","OTU.1376",0.010459435,30,"13CCPS"
"50","OTU.831",0.001965828,30,"13CCPS"
"51","OTU.836",-0.001390839,30,"13CCPS"
"52","OTU.837",-0.004453231,30,"13CCPS"
"53","OTU.834",-0.001359922,30,"13CCPS"
"54","OTU.4459",NA,30,"13CCPS"
"55","OTU.1138",NA,30,"13CCPS"
"56","OTU.835",NA,30,"13CCPS"
"57","OTU.1133",-0.001463118,30,"13CCPS"
"58","OTU.3209",NA,30,"13CCPS"
"59","OTU.3208",NA,30,"13CCPS"
"60","OTU.3207",NA,30,"13CCPS"
"61","OTU.3206",NA,30,"13CCPS"
"62","OTU.3205",NA,30,"13CCPS"
"63","OTU.3204",NA,30,"13CCPS"
"64","OTU.3203",-0.007883968,30,"13CCPS"
"65","OTU.3202",NA,30,"13CCPS"
"66","OTU.3201",NA,30,"13CCPS"
"67","OTU.3200",NA,30,"13CCPS"
"68","OTU.2002",0.027818377,30,"13CCPS"
"69","OTU.2003",NA,30,"13CCPS"
"70","OTU.2000",NA,30,"13CCPS"
"71","OTU.2001",NA,30,"13CCPS"
"72","OTU.2006",NA,30,"13CCPS"
"73","OTU.2007",-0.004990617,30,"13CCPS"
"74","OTU.2004",NA,30,"13CCPS"
"75","OTU.2005",NA,30,"13CCPS"
"76","OTU.2558",-0.046576443,30,"13CCPS"
"77","OTU.2559",NA,30,"13CCPS"
"78","OTU.2008",0.002824548,30,"13CCPS"
"79","OTU.2009",NA,30,"13CCPS"
"80","OTU.292",-0.006414026,30,"13CCPS"
"81","OTU.293",0.003536745,30,"13CCPS"
"82","OTU.290",-0.02780537,30,"13CCPS"
"83","OTU.291",-0.012022992,30,"13CCPS"
"84","OTU.4455",NA,30,"13CCPS"
"85","OTU.1134",0.01570234,30,"13CCPS"
"86","OTU.748",-0.019900332,30,"13CCPS"
"87","OTU.749",0.009405794,30,"13CCPS"
"88","OTU.740",0.015911501,30,"13CCPS"
"89","OTU.741",0.008193943,30,"13CCPS"
"90","OTU.742",0.002021331,30,"13CCPS"
"91","OTU.743",0.008907333,30,"13CCPS"
"92","OTU.744",NA,30,"13CCPS"
"93","OTU.745",-0.01509989,30,"13CCPS"
"94","OTU.746",-0.00567271,30,"13CCPS"
"95","OTU.747",0.013613399,30,"13CCPS"
"96","OTU.1446",0.005159845,30,"13CCPS"
"97","OTU.5517",NA,30,"13CCPS"
"98","OTU.3838",0.013350049,30,"13CCPS"
"99","OTU.3839",NA,30,"13CCPS"
"100","OTU.3834",NA,30,"13CCPS"
"101","OTU.3835",NA,30,"13CCPS"
"102","OTU.3836",NA,30,"13CCPS"
"103","OTU.3837",NA,30,"13CCPS"
"104","OTU.3830",NA,30,"13CCPS"
"105","OTU.3831",NA,30,"13CCPS"
"106","OTU.3832",NA,30,"13CCPS"
"107","OTU.3833",NA,30,"13CCPS"
"108","OTU.6027",NA,30,"13CCPS"
"109","OTU.1253",0.007648731,30,"13CCPS"
"110","OTU.5432",NA,30,"13CCPS"
"111","OTU.2353",NA,30,"13CCPS"
"112","OTU.2350",-0.008115677,30,"13CCPS"
"113","OTU.2351",NA,30,"13CCPS"
"114","OTU.2424",NA,30,"13CCPS"
"115","OTU.2425",0.011372941,30,"13CCPS"
"116","OTU.5313",NA,30,"13CCPS"
"117","OTU.5312",NA,30,"13CCPS"
"118","OTU.5311",NA,30,"13CCPS"
"119","OTU.5866",NA,30,"13CCPS"
"120","OTU.5317",NA,30,"13CCPS"
"121","OTU.2426",NA,30,"13CCPS"
"122","OTU.5315",NA,30,"13CCPS"
"123","OTU.5314",0.019286796,30,"13CCPS"
"124","OTU.5319",NA,30,"13CCPS"
"125","OTU.149",-0.002120901,30,"13CCPS"
"126","OTU.5869",NA,30,"13CCPS"
"127","OTU.5868",NA,30,"13CCPS"
"128","OTU.3844",NA,30,"13CCPS"
"129","OTU.146",-0.008164084,30,"13CCPS"
"130","OTU.147",0.004784317,30,"13CCPS"
"131","OTU.4811",NA,30,"13CCPS"
"132","OTU.5439",NA,30,"13CCPS"
"133","OTU.142",-0.004130934,30,"13CCPS"
"134","OTU.143",-0.005232966,30,"13CCPS"
"135","OTU.140",-0.007860244,30,"13CCPS"
"136","OTU.141",0.005259033,30,"13CCPS"
"137","OTU.5934",NA,30,"13CCPS"
"138","OTU.1524",0.028702967,30,"13CCPS"
"139","OTU.1525",NA,30,"13CCPS"
"140","OTU.1526",-0.0075229,30,"13CCPS"
"141","OTU.1527",NA,30,"13CCPS"
"142","OTU.1520",0.005595742,30,"13CCPS"
"143","OTU.1521",-0.001966761,30,"13CCPS"
"144","OTU.1522",-0.011838667,30,"13CCPS"
"145","OTU.1523",NA,30,"13CCPS"
"146","OTU.1528",NA,30,"13CCPS"
"147","OTU.1529",0.00598663,30,"13CCPS"
"148","OTU.3018",NA,30,"13CCPS"
"149","OTU.3019",NA,30,"13CCPS"
"150","OTU.3548",NA,30,"13CCPS"
"151","OTU.3549",NA,30,"13CCPS"
"152","OTU.3012",NA,30,"13CCPS"
"153","OTU.3013",NA,30,"13CCPS"
"154","OTU.3546",NA,30,"13CCPS"
"155","OTU.3547",NA,30,"13CCPS"
"156","OTU.3540",0.008180139,30,"13CCPS"
"157","OTU.3541",NA,30,"13CCPS"
"158","OTU.3014",NA,30,"13CCPS"
"159","OTU.3015",NA,30,"13CCPS"
"160","OTU.199",-0.006713961,30,"13CCPS"
"161","OTU.198",0.000856999,30,"13CCPS"
"162","OTU.195",-0.007576133,30,"13CCPS"
"163","OTU.194",0.002037274,30,"13CCPS"
"164","OTU.197",0.008600921,30,"13CCPS"
"165","OTU.196",0.000480774,30,"13CCPS"
"166","OTU.191",-0.010868817,30,"13CCPS"
"167","OTU.190",-0.013249247,30,"13CCPS"
"168","OTU.193",-0.001080558,30,"13CCPS"
"169","OTU.192",0.001533417,30,"13CCPS"
"170","OTU.2923",NA,30,"13CCPS"
"171","OTU.995",-0.006124585,30,"13CCPS"
"172","OTU.994",-0.004465308,30,"13CCPS"
"173","OTU.997",-0.010218117,30,"13CCPS"
"174","OTU.996",-0.026877148,30,"13CCPS"
"175","OTU.991",0.002778264,30,"13CCPS"
"176","OTU.990",-0.008474909,30,"13CCPS"
"177","OTU.993",0.004812163,30,"13CCPS"
"178","OTU.992",-0.020486416,30,"13CCPS"
"179","OTU.999",0.001402029,30,"13CCPS"
"180","OTU.998",0.003519737,30,"13CCPS"
"181","OTU.915",0.026664445,30,"13CCPS"
"182","OTU.914",-0.025635351,30,"13CCPS"
"183","OTU.2769",0.010317551,30,"13CCPS"
"184","OTU.2768",0.00605895,30,"13CCPS"
"185","OTU.2763",NA,30,"13CCPS"
"186","OTU.2762",-0.032938348,30,"13CCPS"
"187","OTU.2761",NA,30,"13CCPS"
"188","OTU.2760",NA,30,"13CCPS"
"189","OTU.2767",0.000743176,30,"13CCPS"
"190","OTU.2766",0.031829988,30,"13CCPS"
"191","OTU.2765",0.01275992,30,"13CCPS"
"192","OTU.2764",NA,30,"13CCPS"
"193","OTU.917",NA,30,"13CCPS"
"194","OTU.1942",0.00280918,30,"13CCPS"
"195","OTU.1943",NA,30,"13CCPS"
"196","OTU.1940",-0.010608482,30,"13CCPS"
"197","OTU.1941",NA,30,"13CCPS"
"198","OTU.1946",NA,30,"13CCPS"
"199","OTU.1947",-0.003232665,30,"13CCPS"
"200","OTU.1944",NA,30,"13CCPS"
"201","OTU.1945",NA,30,"13CCPS"
"202","OTU.1948",-0.001727083,30,"13CCPS"
"203","OTU.1949",NA,30,"13CCPS"
"204","OTU.2927",NA,30,"13CCPS"
"205","OTU.6031",NA,30,"13CCPS"
"206","OTU.5083",NA,30,"13CCPS"
"207","OTU.5082",NA,30,"13CCPS"
"208","OTU.5081",NA,30,"13CCPS"
"209","OTU.5080",NA,30,"13CCPS"
"210","OTU.5087",NA,30,"13CCPS"
"211","OTU.5086",NA,30,"13CCPS"
"212","OTU.5085",0.011009228,30,"13CCPS"
"213","OTU.5084",NA,30,"13CCPS"
"214","OTU.5089",NA,30,"13CCPS"
"215","OTU.5088",0.002471812,30,"13CCPS"
"216","OTU.2926",NA,30,"13CCPS"
"217","OTU.911",-0.006678761,30,"13CCPS"
"218","OTU.6030",NA,30,"13CCPS"
"219","OTU.6178",NA,30,"13CCPS"
"220","OTU.910",-0.019744713,30,"13CCPS"
"221","OTU.6037",NA,30,"13CCPS"
"222","OTU.913",0.0122713,30,"13CCPS"
"223","OTU.4688",NA,30,"13CCPS"
"224","OTU.4689",NA,30,"13CCPS"
"225","OTU.4686",NA,30,"13CCPS"
"226","OTU.4687",NA,30,"13CCPS"
"227","OTU.4684",NA,30,"13CCPS"
"228","OTU.4685",NA,30,"13CCPS"
"229","OTU.4682",NA,30,"13CCPS"
"230","OTU.4683",NA,30,"13CCPS"
"231","OTU.4680",NA,30,"13CCPS"
"232","OTU.4681",NA,30,"13CCPS"
"233","OTU.912",-0.001450552,30,"13CCPS"
"234","OTU.6035",NA,30,"13CCPS"
"235","OTU.815",-0.010720563,30,"13CCPS"
"236","OTU.4354",NA,30,"13CCPS"
"237","OTU.4355",NA,30,"13CCPS"
"238","OTU.4356",NA,30,"13CCPS"
"239","OTU.4357",NA,30,"13CCPS"
"240","OTU.4350",NA,30,"13CCPS"
"241","OTU.4351",NA,30,"13CCPS"
"242","OTU.4352",NA,30,"13CCPS"
"243","OTU.4353",NA,30,"13CCPS"
"244","OTU.4358",NA,30,"13CCPS"
"245","OTU.4359",NA,30,"13CCPS"
"246","OTU.4239",NA,30,"13CCPS"
"247","OTU.4238",NA,30,"13CCPS"
"248","OTU.4237",NA,30,"13CCPS"
"249","OTU.4236",NA,30,"13CCPS"
"250","OTU.1315",0.007148347,30,"13CCPS"
"251","OTU.1314",0.009146592,30,"13CCPS"
"252","OTU.1313",0.000113212,30,"13CCPS"
"253","OTU.4232",NA,30,"13CCPS"
"254","OTU.4231",NA,30,"13CCPS"
"255","OTU.4230",0.015241148,30,"13CCPS"
"256","OTU.2998",NA,30,"13CCPS"
"257","OTU.2999",NA,30,"13CCPS"
"258","OTU.2990",NA,30,"13CCPS"
"259","OTU.2991",NA,30,"13CCPS"
"260","OTU.2992",NA,30,"13CCPS"
"261","OTU.2993",NA,30,"13CCPS"
"262","OTU.2994",NA,30,"13CCPS"
"263","OTU.2995",NA,30,"13CCPS"
"264","OTU.2996",-0.021652461,30,"13CCPS"
"265","OTU.2997",NA,30,"13CCPS"
"266","OTU.3225",NA,30,"13CCPS"
"267","OTU.3224",NA,30,"13CCPS"
"268","OTU.3227",NA,30,"13CCPS"
"269","OTU.3226",NA,30,"13CCPS"
"270","OTU.3221",NA,30,"13CCPS"
"271","OTU.3220",NA,30,"13CCPS"
"272","OTU.3223",0.011748631,30,"13CCPS"
"273","OTU.3222",NA,30,"13CCPS"
"274","OTU.3229",NA,30,"13CCPS"
"275","OTU.3228",0.016849158,30,"13CCPS"
"276","OTU.4901",NA,30,"13CCPS"
"277","OTU.2577",0.01382057,30,"13CCPS"
"278","OTU.2574",NA,30,"13CCPS"
"279","OTU.4902",NA,30,"13CCPS"
"280","OTU.4905",NA,30,"13CCPS"
"281","OTU.4904",NA,30,"13CCPS"
"282","OTU.2570",0.013040427,30,"13CCPS"
"283","OTU.4906",NA,30,"13CCPS"
"284","OTU.4909",NA,30,"13CCPS"
"285","OTU.4908",NA,30,"13CCPS"
"286","OTU.2578",NA,30,"13CCPS"
