"OTU","Treatment","Day","log2FoldChange","p"
"OTU.783","13CXPS","1",-0.272597804202439,0.990696124198254
"OTU.2638","13CXPS","1",-0.184417947871289,0.987501154886542
"OTU.79","13CXPS","1",-0.0368997687638807,0.972453465580547
"OTU.696","13CXPS","1",-0.172446403615966,0.976637714089344
"OTU.304","13CXPS","1",-0.165009176399734,0.979232670188044
"OTU.50","13CXPS","1",-0.268646443406265,0.995266820853956
"OTU.477","13CXPS","1",-0.0143747553911659,0.940611859587314
"OTU.2034","13CXPS","1",-0.0592923301595163,0.959677031413834
"OTU.162","13CXPS","1",-0.850932049527411,0.999984231599847
"OTU.760","13CXPS","1",0.784266190769066,0.191352713963693
"OTU.156","13CXPS","1",0.861291356538306,0.122857832163776
"OTU.1791","13CXPS","1",0.56967634731375,0.416810202606237
"OTU.667","13CXPS","1",0.469101020491802,0.536592731146369
"OTU.587","13CXPS","1",0.0990749230212563,0.885863361949054
"OTU.358","13CXPS","1",-0.677620231158747,0.999891860625778
"OTU.134","13CXPS","1",0.0397139609159389,0.942765780601194
"OTU.5338","13CXPS","1",0.152652190299912,0.852659677330507
"OTU.3267","13CXPS","1",-0.0163220552593941,0.944419759992023
"OTU.183","13CXPS","1",-0.848680658406355,0.999988005848924
"OTU.1316","13CXPS","1",-0.178916043007365,0.981242059200241
"OTU.342","13CXPS","1",0.0720026904503718,0.906137432290247
"OTU.2547","13CXPS","1",-0.0519384609617828,0.949964388955807
"OTU.12","13CXPS","1",-0.0869216534837198,0.974955370335981
"OTU.247","13CXPS","1",0.103812707413845,0.892449746480608
"OTU.122","13CXPS","1",-0.51648982204616,0.999568596059557
"OTU.5906","13CXPS","1",0.305758437396566,0.726109630748318
"OTU.141","13CXPS","1",-0.580628883648183,0.99989330618165
"OTU.121","13CXPS","1",-0.468675309645065,0.999718219812897
"OTU.599","13CXPS","1",-0.0613872786029823,0.953965413391378
"OTU.171","13CXPS","1",-0.0756573389153511,0.96233536462992
"OTU.155","13CXPS","1",-0.648547518899516,0.999958268225638
"OTU.514","13CXPS","1",0.352136600437485,0.670167334030041
"OTU.113","13CXPS","1",-0.130488518321583,0.981679265339856
"OTU.978","13CXPS","1",-0.421778115697458,0.998567515176701
"OTU.2274","13CXPS","1",0.0772404923847385,0.894247778654717
"OTU.797","13CXPS","1",0.355691353785768,0.66903529567313
"OTU.153","13CXPS","1",-0.228123134316503,0.989583486635644
"OTU.546","13CXPS","1",-0.227438251190104,0.985802046147779
"OTU.571","13CXPS","1",-0.0532109459257552,0.95024702258704
"OTU.4925","13CXPS","1",-0.163653547415647,0.980014721115201
"OTU.80","13CXPS","1",-0.441647143677026,0.9993823537662
"OTU.93","13CXPS","1",0.0389521167886778,0.926488047159548
"OTU.106","13CXPS","1",0.142299231540612,0.873900660165525
"OTU.69","13CXPS","1",0.149999860016528,0.896373661050544
"OTU.216","13CXPS","1",-0.187997081484685,0.985600817788192
"OTU.376","13CXPS","1",0.0215897942693259,0.930226121427465
"OTU.277","13CXPS","1",0.754982793438825,0.219179966907935
"OTU.3388","13CXPS","1",-0.729072803182005,0.999935821798948
"OTU.360","13CXPS","1",-0.447894397871936,0.998737812173659
"OTU.1364","13CXPS","1",-0.228828810311865,0.986980313466527
"OTU.275","13CXPS","1",0.206690959982889,0.822408632338345
"OTU.432","13CXPS","1",0.039502974934172,0.917727022860595
"OTU.4614","13CXPS","1",-0.632559373360862,0.999800242973875
"OTU.91","13CXPS","1",-0.211965499427686,0.991845952342615
"OTU.1535","13CXPS","1",0.00563438698667304,0.930293728060835
"OTU.99","13CXPS","1",-0.543532970180921,0.999633332503053
"OTU.145","13CXPS","1",-0.338729748645062,0.995186444742264
"OTU.5130","13CXPS","1",0.351906797636442,0.670362302200962
"OTU.697","13CXPS","1",-0.622082950086266,0.99982842399849
"OTU.242","13CXPS","1",-0.102164291146497,0.967474297133005
"OTU.2338","13CXPS","1",-0.210152593111513,0.985471021619638
"OTU.705","13CXPS","1",0.302931626886754,0.720789512557092
"OTU.194","13CXPS","1",-0.106824437916387,0.974617793703637
"OTU.819","13CXPS","1",0.715963946501517,0.259686873505275
"OTU.1635","13CXPS","1",-0.00566028498880956,0.935994363636039
"OTU.393","13CXPS","1",0.351492522989069,0.67082593109109
"OTU.329","13CXPS","1",0.195692657931265,0.823305800575629
"OTU.127","13CXPS","1",-0.436122226569558,0.998412960113804
"OTU.593","13CXPS","1",0.753498019043815,0.212133131387694
"OTU.147","13CXPS","1",0.246298817775335,0.819607721753919
"OTU.616","13CXPS","1",-0.564845808227572,0.999427317718119
"OTU.4427","13CXPS","1",-0.106268145585691,0.977250385090583
"OTU.419","13CXPS","1",-0.18755504714111,0.983984470839847
"OTU.220","13CXPS","1",-0.313399875852935,0.994492394028206
"OTU.5980","13CXPS","1",-0.392208627382784,0.997391219831603
"OTU.430","13CXPS","1",-0.137052910563338,0.97710040984413
"OTU.72","13CXPS","1",-0.24239905358887,0.989702221365665
"OTU.1558","13CXPS","1",0.558447854242843,0.430711957766501
"OTU.60","13CXPS","1",-0.178706023914527,0.988652019142326
"OTU.159","13CXPS","1",1.40496889721281,0.000804617770372163
"OTU.3034","13CXPS","1",0.902394585530226,0.0952974027115357
"OTU.131","13CXPS","1",1.20545080876159,0.00837124970650729
"OTU.3540","13CXPS","1",0.309336926995962,0.743407212654085
"OTU.1274","13CXPS","1",-0.318424044955304,0.994298976468762
"OTU.2042","13CXPS","1",0.592185070343175,0.386975444899671
"OTU.107","13CXPS","1",1.39187134964109,0.00130093927443183
"OTU.2379","13CXPS","1",0.80023701714227,0.141354029302788
"OTU.14","13CXPS","1",1.66270615041375,0.000134695602470471
"OTU.6203","13CXPS","1",1.32178839979477,0.0017589700721045
"OTU.1186","13CXPS","1",0.0293329713851421,0.925568721560291
"OTU.511","13CXPS","1",-0.37315100317959,0.996211496039142
"OTU.95","13CXPS","1",-0.72588903329544,0.999965027474257
"OTU.614","13CXPS","1",-0.0671980273683035,0.957612566440148
"OTU.1216","13CXPS","1",0.115645185675225,0.874386309801283
"OTU.208","13CXPS","1",-0.504806307070684,0.999032579856886
"OTU.475","13CXPS","1",0.199187860705334,0.820657740619719
"OTU.747","13CXPS","1",0.165184958019115,0.841932786254036
"OTU.685","13CXPS","1",-0.721514029070185,0.999950098753133
"OTU.338","13CXPS","1",0.279672291548246,0.745123520188302
"OTU.873","13CXPS","1",0.128870907334966,0.864387139772489
"OTU.305","13CXPS","1",0.415954903982568,0.601817623081878
"OTU.294","13CXPS","1",-0.413953667219425,0.998540368994139
"OTU.648","13CXPS","1",0.408067245948028,0.611016081970724
"OTU.1281","13CXPS","1",0.00987711224081744,0.928600880093264
"OTU.663","13CXPS","1",0.00663825414458513,0.929818260649159
"OTU.695","13CXPS","1",0.0495126113576467,0.914834788884737
"OTU.527","13CXPS","1",0.0808577441670276,0.899288620035212
"OTU.473","13CXPS","1",-0.103486500650951,0.964470096744533
"OTU.476","13CXPS","1",-0.0735958625246998,0.960761023976889
"OTU.408","13CXPS","1",-0.204769635362674,0.984371778615221
"OTU.767","13CXPS","1",0.493749190604309,0.507704307227427
"OTU.1135","13CXPS","1",-0.229717768086791,0.987021310688191
"OTU.351","13CXPS","1",-0.60807169039264,0.999813099641367
"OTU.217","13CXPS","1",-0.00152550385011312,0.957932852631735
"OTU.356","13CXPS","1",-0.162856284852364,0.981712733174389
"OTU.800","13CXPS","1",-0.0667014358849219,0.956336057656149
"OTU.285","13CXPS","1",-0.219412392146689,0.985396562250897
"OTU.3196","13CXPS","1",-0.131475638023731,0.972956084813562
"OTU.256","13CXPS","1",-0.157007470554582,0.980109473301243
"OTU.5670","13CXPS","1",-0.0256423157767804,0.943825178170404
"OTU.791","13CXPS","1",-0.0546681373076281,0.950768525036178
"OTU.619","13CXPS","1",-0.216935070864528,0.984602818083888
"OTU.499","13CXPS","1",-0.21596352431284,0.988547465958302
"OTU.427","13CXPS","1",0.311155873496499,0.715847726264113
"OTU.579","13CXPS","1",0.0125762804666682,0.925970197231422
"OTU.554","13CXPS","1",-0.31727026267464,0.993455018896349
"OTU.698","13CXPS","1",0.239592831939755,0.781439643320651
"OTU.721","13CXPS","1",-0.00369854218834548,0.940614780840304
"OTU.410","13CXPS","1",0.207580351261908,0.827168511797998
"OTU.425","13CXPS","1",0.41676536285109,0.599205098307669
"OTU.814","13CXPS","1",0.258301192856678,0.766874294919957
"OTU.622","13CXPS","1",0.123253231052749,0.869836204161673
"OTU.313","13CXPS","1",0.527109548608825,0.467567941997757
"OTU.780","13CXPS","1",-0.147977521794943,0.979325722857292
"OTU.1154","13CXPS","1",-0.0455621271824038,0.947991702515614
"OTU.117","13CXPS","1",-0.522665267089927,0.999610557852917
"OTU.1001","13CXPS","1",-0.314750989133135,0.993991818546522
"OTU.973","13CXPS","1",-0.336393415868844,0.994081780883026
"OTU.455","13CXPS","1",0.07386559516591,0.904733611449959
"OTU.5580","13CXPS","1",-0.105436908355204,0.964921975616864
"OTU.4617","13CXPS","1",0.178075069421159,0.832655802905348
"OTU.2612","13CXPS","1",0.307112676680079,0.716670974427904
"OTU.547","13CXPS","1",-0.468257523460423,0.998984737649772
"OTU.1586","13CXPS","1",-0.161431974666127,0.976471864406661
"OTU.453","13CXPS","1",0.105508461309454,0.88232584686298
"OTU.602","13CXPS","1",0.235552478215424,0.784953470201
"OTU.611","13CXPS","1",-0.348704532933548,0.996001841973839
"OTU.1918","13CXPS","1",0.327533048492047,0.694441578402271
"OTU.552","13CXPS","1",0.304372896532612,0.724493204248292
"OTU.1093","13CXPS","1",0.0582916579726472,0.907409116895728
"OTU.363","13CXPS","1",0.197244405439687,0.82229606579686
"OTU.364","13CXPS","1",-0.213532713948549,0.985258449565994
"OTU.150","13CXPS","1",0.0950959352870653,0.890037533383296
"OTU.468","13CXPS","1",0.0995529996212718,0.887725957698319
"OTU.944","13CXPS","1",0.0975513984874438,0.888624426796518
"OTU.553","13CXPS","1",2.79853444894011e-05,0.933749376604244
"OTU.414","13CXPS","1",-0.0077786632641518,0.938338316269997
"OTU.1100","13CXPS","1",0.0921749495151515,0.893678508672871
"OTU.467","13CXPS","1",-0.373461168679336,0.996060191019665
"OTU.861","13CXPS","1",0.185526181962426,0.833334073711549
"OTU.522","13CXPS","1",0.0975033449671939,0.886925652437518
"OTU.354","13CXPS","1",-0.593512316972861,0.999554911918377
"OTU.359","13CXPS","1",-0.687392461100216,0.99987267403681
"OTU.510","13CXPS","1",-0.209877113459939,0.985624006608639
"OTU.466","13CXPS","1",0.0792697634737007,0.902629204061119
"OTU.341","13CXPS","1",0.0484115383033352,0.915541472140987
"OTU.615","13CXPS","1",0.176705681781502,0.833767825667684
"OTU.534","13CXPS","1",-0.150183728225221,0.980250718983005
"OTU.47","13CXPS","1",-0.120755659200351,0.990049929539361
"OTU.575","13CXPS","1",-0.00704211897544977,0.936439422328769
"OTU.173","13CXPS","1",0.127045612951242,0.890665665407894
"OTU.124","13CXPS","1",-1.09346496887457,0.999999992209987
"OTU.111","13CXPS","1",-0.337246810549344,0.998120905381924
"OTU.211","13CXPS","1",-0.249893290946066,0.994188143585807
"OTU.540","13CXPS","1",-0.19001817879644,0.992288534256689
"OTU.3988","13CXPS","1",0.118968625297139,0.883203489644222
"OTU.1503","13CXPS","1",0.295733037627544,0.739855709736383
"OTU.863","13CXPS","1",-0.256132253604605,0.989331210947342
"OTU.5170","13CXPS","1",-0.284069485746869,0.990694371030093
"OTU.108","13CXPS","1",-0.779504860243745,0.999993832343675
"OTU.2013","13CXPS","1",-0.393252622644908,0.999473970580874
"OTU.439","13CXPS","1",-0.265455647273529,0.991271291410519
"OTU.118","13CXPS","1",-0.308361702893853,0.997934133915708
"OTU.328","13CXPS","1",-0.0732464441799491,0.978522074060471
"OTU.168","13CXPS","1",-0.0489653721753064,0.972053102894899
"OTU.178","13CXPS","1",-0.511495975875174,0.999573860701213
"OTU.3231","13CXPS","1",-0.427909579705823,0.99834151846686
"OTU.332","13CXPS","1",-0.311195360635012,0.996022828636645
"OTU.4973","13CXPS","1",-0.316357428895479,0.995491945545809
"OTU.5706","13CXPS","1",-0.136082656083954,0.986423082433294
"OTU.253","13CXPS","1",-0.394092958996277,0.998320264650117
"OTU.146","13CXPS","1",-0.107480450603511,0.990414492652227
"OTU.128","13CXPS","1",-0.265274285906258,0.996834356143877
"OTU.3616","13CXPS","1",-0.352270022149817,0.997460779408507
"OTU.5953","13CXPS","1",0.106786585590494,0.892984781937693
"OTU.5978","13CXPS","1",-0.199743200193644,0.991710646154595
"OTU.36","13CXPS","1",-0.0929880094070765,0.981131803607139
"OTU.298","13CXPS","1",0.0980414609918931,0.894709942739033
"OTU.1800","13CXPS","1",-0.463313156149853,0.999500727933131
"OTU.536","13CXPS","1",-0.342092344979285,0.999211835983274
"OTU.1571","13CXPS","1",-0.163800320742978,0.980746722776481
"OTU.413","13CXPS","1",0.437668514072712,0.581433328192731
"OTU.44","13CXPS","1",-0.317841097701701,0.999241489783189
"OTU.377","13CXPS","1",0.317453939236889,0.709578926403601
"OTU.3230","13CXPS","1",0.0856577963654738,0.896296064715181
"OTU.52","13CXPS","1",0.103719557221274,0.934952047314239
"OTU.1395","13CXPS","1",0.654259411561791,0.317022851609331
"OTU.55","13CXPS","1",0.0742906156112505,0.953660710491126
"OTU.1066","13CXPS","1",0.0578229640362876,0.907542980459383
"OTU.2972","13CXPS","1",-0.0283708849829729,0.956868755570485
"OTU.1371","13CXPS","1",0.182490912654372,0.874280930987777
"OTU.189","13CXPS","1",-0.500291958427034,0.999636750004762
"OTU.4283","13CXPS","1",-0.194419627845065,0.992702115696624
"OTU.595","13CXPS","1",-0.282992333371004,0.990879917839635
"OTU.704","13CXPS","1",-0.0467579850119122,0.948378717538097
"OTU.2703","13CXPS","1",-0.443814023353019,0.999130179046094
"OTU.493","13CXPS","1",-0.085460131344702,0.981091801252965
"OTU.229","13CXPS","1",-0.0683236350548574,0.972567582625311
"OTU.642","13CXPS","1",0.256310826794773,0.76477660121565
"OTU.67","13CXPS","1",-0.225845059750758,0.997157826534167
"OTU.4149","13CXPS","1",0.151631265908883,0.878526865758464
"OTU.5366","13CXPS","1",0.357879367151987,0.670392996742248
"OTU.375","13CXPS","1",-0.420587841342385,0.999423614050371
"OTU.174","13CXPS","1",0.042305831601642,0.941965284851451
"OTU.1056","13CXPS","1",0.431059039537766,0.58480419056515
"OTU.289","13CXPS","1",-0.0473941195731652,0.9670755928862
"OTU.1715","13CXPS","1",-0.478939951140741,0.999930675395861
"OTU.942","13CXPS","1",-0.0488753308858508,0.948977371950484
"OTU.317","13CXPS","1",0.109075837633179,0.924056603090814
"OTU.51","13CXPS","1",-0.019243350257301,0.986467725582607
"OTU.5251","13CXPS","1",-0.504106020165053,0.999966090063661
"OTU.533","13CXPS","1",-0.22664205492495,0.993871821839004
"OTU.5413","13CXPS","1",0.306276873324816,0.720714989132656
"OTU.896","13CXPS","1",-0.0245955987928625,0.951727089274844
"OTU.1817","13CXPS","1",-0.0558961371635827,0.952461483060647
"OTU.5991","13CXPS","1",-0.0446846718689784,0.979890614245465
"OTU.97","13CXPS","1",-0.265941840477343,0.994492415612371
"OTU.42","13CXPS","1",0.138557029218699,0.892257690448885
"OTU.5094","13CXPS","1",0.124493821776759,0.869006566446586
"OTU.5261","13CXPS","1",-0.422588182198047,0.999650874051235
"OTU.4227","13CXPS","1",-0.10569335062687,0.963905439645001
"OTU.284","13CXPS","1",-0.493740411158145,0.999886101188912
"OTU.826","13CXPS","1",-0.369825830214495,0.997216631408238
"OTU.78","13CXPS","1",-0.789256419482041,0.999999033081422
"OTU.390","13CXPS","1",-0.255912344745271,0.991164344789353
"OTU.249","13CXPS","1",-0.640579577702942,0.999843294883408
"OTU.979","13CXPS","1",0.0106401520326169,0.928310467027081
"OTU.914","13CXPS","1",-0.208590905172252,0.983572740443281
"OTU.785","13CXPS","1",-0.216904845492505,0.985741828768678
"OTU.578","13CXPS","1",0.0949049264115888,0.890358208960651
"OTU.563","13CXPS","1",0.120173117487758,0.877166631376693
"OTU.706","13CXPS","1",-0.32863242471514,0.99562942432297
"OTU.961","13CXPS","1",0.0505797207214882,0.912752512990811
"OTU.283","13CXPS","1",-0.0692705015302529,0.962031653728938
"OTU.280","13CXPS","1",-0.269035908408126,0.993161808638223
"OTU.496","13CXPS","1",-0.0144209937493983,0.942145641062532
"OTU.922","13CXPS","1",-0.337734880352652,0.993865023939687
"OTU.296","13CXPS","1",-0.194379072727275,0.988527577887949
"OTU.799","13CXPS","1",0.181964159402328,0.836064125569864
"OTU.645","13CXPS","1",-0.0480408256900972,0.948744972894027
"OTU.716","13CXPS","1",-0.259124669601611,0.990535339864606
"OTU.323","13CXPS","1",-0.229491304301477,0.992340619139887
"OTU.823","13CXPS","1",0.286321432989746,0.738574065051485
"OTU.402","13CXPS","1",-0.692094122932581,0.999915588200329
"OTU.2301","13CXPS","1",0.034672717779199,0.926770123031705
"OTU.3507","13CXPS","1",1.70546157049329,2.11769377602001e-06
"OTU.3","13CXPS","1",2.07798546690868,6.20221073371768e-11
"OTU.4743","13CXPS","1",1.97373068822446,1.96816029770018e-15
"OTU.810","13CXPS","1",0.192873846318747,0.828320700491547
"OTU.4928","13CXPS","1",0.238709629009628,0.782142671147953
"OTU.464","13CXPS","1",0.61508277996619,0.363009387007902
"OTU.9","13CXPS","1",1.68676863785628,7.29450615068548e-08
"OTU.8","13CXPS","1",1.88758752721483,9.95872052358882e-11
"OTU.869","13CXPS","1",0.360517283968936,0.663832164602576
"OTU.4121","13CXPS","1",0.0366847787426407,0.950311447384034
"OTU.4390","13CXPS","1",-0.199589629008078,0.987942231302826
"OTU.1623","13CXPS","1",0.0205447323480732,0.960888691692695
"OTU.574","13CXPS","1",0.217694103587242,0.802007306210184
"OTU.461","13CXPS","1",0.321090184265352,0.724387253476469
"OTU.7","13CXPS","1",-0.132280512339889,0.98574947990566
"OTU.163","13CXPS","1",-0.303847256828286,0.994739564659645
"OTU.2040","13CXPS","1",1.34424620598958,0.00350172103170833
"OTU.2319","13CXPS","1",0.328308610039762,0.693627750440698
"OTU.394","13CXPS","1",1.92816367269363,6.62993844536411e-06
"OTU.1405","13CXPS","1",0.946457848189618,0.0874642756362564
"OTU.335","13CXPS","1",1.52408804006961,0.00024875439436797
"OTU.5860","13CXPS","1",0.759412674698952,0.218311020157608
"OTU.843","13CXPS","1",1.35334541397594,0.0045171115177098
"OTU.636","13CXPS","1",0.983867238361931,0.063489367873359
"OTU.1630","13CXPS","1",0.394885197268585,0.625248465274176
"OTU.361","13CXPS","1",0.00457692072142043,0.938339612541645
"OTU.1367","13CXPS","1",0.4259378247368,0.586898126665629
"OTU.582","13CXPS","1",0.48216014096747,0.522642100057778
"OTU.267","13CXPS","1",2.5601298550552,1.32823534220283e-11
"OTU.1553","13CXPS","1",0.617744297873819,0.35556258189001
"OTU.454","13CXPS","1",0.341991496291314,0.705201435142544
"OTU.2134","13CXPS","1",0.53941966553115,0.452317907128429
"OTU.369","13CXPS","1",2.25305537022885,5.58489064410123e-08
"OTU.319","13CXPS","1",2.0441563744613,1.00634677078862e-06
"OTU.57","13CXPS","1",2.83108552994006,7.32089458944063e-14
"OTU.1069","13CXPS","1",1.30947453664647,0.00599490378399179
"OTU.1040","13CXPS","1",1.58754582396019,0.000350299328402447
"OTU.5603","13CXPS","1",1.63199942583663,0.000142620101025203
"OTU.584","13CXPS","1",-0.289555195396768,0.991345090999813
"OTU.316","13CXPS","1",-0.169001407340255,0.976893670302503
"OTU.184","13CXPS","1",-0.0663955009643068,0.956562028979939
"OTU.523","13CXPS","1",0.288239735898388,0.736868542989048
"OTU.387","13CXPS","1",0.0543675349682651,0.919355496643828
"OTU.654","13CXPS","1",0.186440649775016,0.830106947255222
"OTU.1048","13CXPS","1",-0.221995463549483,0.985213529979107
"OTU.2200","13CXPS","1",-0.375279339274055,0.997121678394569
