usearch v7.0.1090_i86linux32, 4.0Gb RAM (132Gb total), 40 cores
usearch -fastq_stats data/ABCD_combined_reads.fastq -log data/fastq_stats.log 
Started Thu Jan 16 08:25:28 2014

Read length distribution
      L           N      Pct   AccPct
-------  ----------  -------  -------
>=  394         427     0.0%     1.0%
    393         428     0.0%     1.0%
    392         441     0.0%     1.1%
    391         473     0.0%     1.1%
    390         531     0.0%     1.1%
    389         468     0.0%     1.2%
    388         506     0.0%     1.2%
    387         526     0.0%     1.2%
    386         543     0.0%     1.2%
    385         516     0.0%     1.3%
    384         616     0.0%     1.3%
    383         594     0.0%     1.3%
    382         593     0.0%     1.4%
    381         604     0.0%     1.4%
    380         619     0.0%     1.5%
    379         605     0.0%     1.5%
    378         652     0.0%     1.5%
    377         685     0.0%     1.6%
    376         712     0.0%     1.6%
    375         731     0.0%     1.6%
    374         761     0.0%     1.7%
    373         776     0.0%     1.7%
    372         787     0.0%     1.8%
    371         816     0.0%     1.8%
    370         850     0.0%     1.9%
    369         859     0.0%     1.9%
    368         927     0.1%     2.0%
    367         979     0.1%     2.0%
    366         977     0.1%     2.1%
    365         990     0.1%     2.2%
    364        1076     0.1%     2.2%
    363        1144     0.1%     2.3%
    362        1234     0.1%     2.4%
    361        1288     0.1%     2.4%
    360        1332     0.1%     2.5%
    359        1492     0.1%     2.6%
    358        1593     0.1%     2.7%
    357        1697     0.1%     2.8%
    356        1879     0.1%     2.9%
    355        2155     0.1%     3.0%
    354        2509     0.1%     3.2%
    353        2767     0.2%     3.3%
    352        3268     0.2%     3.5%
    351        3686     0.2%     3.7%
    350        3625     0.2%     3.9%
    349        3778     0.2%     4.2%
    348        3589     0.2%     4.4%
    347        3972     0.2%     4.6%
    346        4296     0.2%     4.8%
    345        4806     0.3%     5.1%
    344        5175     0.3%     5.4%
    343        6146     0.4%     5.8%
    342        6982     0.4%     6.2%
    341        8677     0.5%     6.7%
    340       12007     0.7%     7.4%
    339       18696     1.1%     8.5%
    338       37043     2.2%    10.6%
    337       78045     4.5%    15.2%
    336      144023     8.4%    23.5%
    335      215395    12.5%    36.1%
    334      284320    16.5%    52.6%
    333      296382    17.2%    69.8%
    332      230148    13.4%    83.2%
    331      246285    14.3%    97.5%
    330       28450     1.7%    99.2%
    329        4899     0.3%    99.4%
    328        1589     0.1%    99.5%
    327         786     0.0%    99.6%
    326         510     0.0%    99.6%
    325         408     0.0%    99.6%
    324         386     0.0%    99.7%
    323         372     0.0%    99.7%
    322         324     0.0%    99.7%
    321         292     0.0%    99.7%
    320         145     0.0%    99.7%
    319          98     0.0%    99.7%
    318          75     0.0%    99.7%
    317          53     0.0%    99.7%
    316          66     0.0%    99.7%
    315          51     0.0%    99.7%
    314          37     0.0%    99.7%
    313          46     0.0%    99.7%
    312          34     0.0%    99.8%
    311          40     0.0%    99.8%
    310          31     0.0%    99.8%
    309          66     0.0%    99.8%
    308          79     0.0%    99.8%
    307          75     0.0%    99.8%
    306          57     0.0%    99.8%
    305         102     0.0%    99.8%
    304         134     0.0%    99.8%
    303         163     0.0%    99.8%
    302         178     0.0%    99.8%
    301         193     0.0%    99.8%
    300         132     0.0%    99.8%
    299          68     0.0%    99.8%
    298          35     0.0%    99.8%
    297          17     0.0%    99.8%
    296          11     0.0%    99.8%
    295           8     0.0%    99.8%
    294           9     0.0%    99.8%
    293           4     0.0%    99.8%
    292           5     0.0%    99.8%
    291           5     0.0%    99.8%
    290           7     0.0%    99.8%
    289           6     0.0%    99.8%
    288           8     0.0%    99.8%
    287           6     0.0%    99.8%
    286           7     0.0%    99.8%
    285           6     0.0%    99.8%
    284           8     0.0%    99.8%
    283          20     0.0%    99.8%
    282          20     0.0%    99.8%
    281          20     0.0%    99.8%
    280          23     0.0%    99.8%
    279          10     0.0%    99.8%
    278           6     0.0%    99.8%
    277           5     0.0%    99.8%
    276           2     0.0%    99.8%
    275           3     0.0%    99.8%
    274           3     0.0%    99.8%
    273           2     0.0%    99.8%
    272           2     0.0%    99.8%
    271           5     0.0%    99.8%
    270           3     0.0%    99.8%
    269           4     0.0%    99.8%
    267           1     0.0%    99.8%
    266           4     0.0%    99.8%
    265           1     0.0%    99.8%
    264           1     0.0%    99.8%
    262           4     0.0%    99.8%
    261           4     0.0%    99.8%
    260           2     0.0%    99.8%
    259           3     0.0%    99.8%
    258           2     0.0%    99.8%
    257           3     0.0%    99.8%
    256           3     0.0%    99.8%
    255           5     0.0%    99.8%
    254           5     0.0%    99.8%
    253           1     0.0%    99.8%
    252           3     0.0%    99.8%
    251           3     0.0%    99.8%
    250           3     0.0%    99.8%
    249           3     0.0%    99.8%
    248           2     0.0%    99.8%
    247           1     0.0%    99.8%
    245           3     0.0%    99.8%
    244           1     0.0%    99.8%
    243           4     0.0%    99.8%
    241           2     0.0%    99.8%
    240           3     0.0%    99.8%
    239           3     0.0%    99.8%
    238           2     0.0%    99.8%
    237           2     0.0%    99.8%
    236           3     0.0%    99.8%
    235           1     0.0%    99.8%
    234           2     0.0%    99.8%
    233           1     0.0%    99.8%
    232           2     0.0%    99.8%
    231           5     0.0%    99.8%
    230           1     0.0%    99.8%
    229           1     0.0%    99.8%
    226           1     0.0%    99.8%
    224           1     0.0%    99.8%
    223           2     0.0%    99.8%
    222           3     0.0%    99.8%
    221           1     0.0%    99.8%
    219           1     0.0%    99.8%
    218           8     0.0%    99.8%
    217           3     0.0%    99.8%
    216           2     0.0%    99.8%
    214           3     0.0%    99.8%
    213           4     0.0%    99.8%
    212           3     0.0%    99.8%
    210           5     0.0%    99.9%
