"sparsity_threshold","Day","Treatment","OTU","log2FoldChange","p","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8","padj"
0.55,30,"13CCSS","OTU.783",-0.337082536467674,0.996574093332241,"Bacteria","Acidobacteria","Holophagae","Sva0725",NA,NA,NA,NA,1
0.55,30,"13CCSS","OTU.79",0.75981823519691,0.488986034786653,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Flexibacter","uncultured_bacterium",NA,1
0.55,30,"13CCSS","OTU.304",0.41836480489731,0.808983672770478,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Flexibacter","uncultured_bacterium",NA,1
0.55,30,"13CCSS","OTU.50",0.72896935220958,0.52523676420426,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Flexibacter","uncultured_bacterium",NA,1
0.55,30,"13CCSS","OTU.382",2.98335741040779,1.37009227870565e-07,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Flexibacter","uncultured_Bacteroidetes_bacterium",NA,4.32949160070986e-05
0.55,30,"13CCSS","OTU.465",0.551599441324574,0.688754034279508,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Flexibacter","uncultured_bacterium",NA,1
0.55,30,"13CCSS","OTU.162",0.211671004944863,0.920418761274033,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Flexibacter","uncultured_bacterium",NA,1
0.55,30,"13CCSS","OTU.1084",1.18943389426859,0.136625840793462,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Flexibacter","uncultured_bacterium",NA,1
0.55,30,"13CCSS","OTU.525",1.90206654252395,0.00210101346106626,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Cytophaga","uncultured_bacterium",NA,0.0577321959736467
0.55,30,"13CCSS","OTU.985",1.1943492316341,0.135894247459079,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Adhaeribacter",NA,NA,1
0.55,30,"13CCSS","OTU.587",-0.146184418829703,0.98658839940168,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","PHOS-HE51","uncultured_bacterium",NA,NA,1
0.55,30,"13CCSS","OTU.342",-0.0269891931230218,0.973079467820472,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Ferruginibacter","uncultured_bacterium",NA,1
0.55,30,"13CCSS","OTU.12",0.393080983194243,0.882631160944991,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","uncultured","uncultured_Bacteroidetes_bacterium",NA,1
0.55,30,"13CCSS","OTU.122",-0.232489230484991,0.994182932953038,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Ferruginibacter","uncultured_bacterium",NA,1
0.55,30,"13CCSS","OTU.141",-0.128569359598735,0.986343056039103,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Lacibacter",NA,NA,1
0.55,30,"13CCSS","OTU.121",1.3382246486842,0.0579744494144804,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Ferruginibacter",NA,NA,0.666179127817302
0.55,30,"13CCSS","OTU.599",0.926129716197456,0.327127238148238,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Ferruginibacter",NA,NA,1
0.55,30,"13CCSS","OTU.171",1.54888365832885,0.0239370322070235,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Ferruginibacter","uncultured_bacterium",NA,0.336182318996419
0.55,30,"13CCSS","OTU.440",0.415171577410631,0.797459485478679,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","uncultured","uncultured_bacterium",NA,1
