sparsity_threshold,Day,Treatment,OTU,log2FoldChange,p,Rank1,Rank2,Rank3,Rank4,Rank5,Rank6,Rank7,Rank8,padj
0.55,30,SS,OTU.783,-0.337082536,0.996574093,Bacteria,Acidobacteria,Holophagae,Sva0725,NA,NA,NA,NA,1
0.55,30,SS,OTU.79,0.759818235,0.488986035,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Flexibacter,uncultured_bacterium,NA,1
0.55,30,SS,OTU.304,0.418364805,0.808983673,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Flexibacter,uncultured_bacterium,NA,1
0.55,30,SS,OTU.50,0.728969352,0.525236764,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Flexibacter,uncultured_bacterium,NA,1
0.55,30,SS,OTU.382,2.98335741,1.37E-07,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Flexibacter,uncultured_Bacteroidetes_bacterium,NA,4.33E-05
0.55,30,SS,OTU.465,0.551599441,0.688754034,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Flexibacter,uncultured_bacterium,NA,1
0.55,30,SS,OTU.162,0.211671005,0.920418761,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Flexibacter,uncultured_bacterium,NA,1
0.55,30,SS,OTU.1084,1.189433894,0.136625841,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Flexibacter,uncultured_bacterium,NA,1
0.55,30,SS,OTU.525,1.902066543,0.002101013,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,uncultured_bacterium,NA,0.057732196
0.55,30,SS,OTU.985,1.194349232,0.135894247,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Adhaeribacter,NA,NA,1
0.55,30,SS,OTU.587,-0.146184419,0.986588399,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,PHOS-HE51,uncultured_bacterium,NA,NA,1
0.55,30,SS,OTU.342,-0.026989193,0.973079468,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Ferruginibacter,uncultured_bacterium,NA,1
0.55,30,SS,OTU.12,0.393080983,0.882631161,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,uncultured,uncultured_Bacteroidetes_bacterium,NA,1
0.55,30,SS,OTU.122,-0.23248923,0.994182933,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Ferruginibacter,uncultured_bacterium,NA,1
0.55,30,SS,OTU.141,-0.12856936,0.986343056,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Lacibacter,NA,NA,1
0.55,30,SS,OTU.121,1.338224649,0.057974449,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Ferruginibacter,NA,NA,0.666179128
0.55,30,SS,OTU.599,0.926129716,0.327127238,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Ferruginibacter,NA,NA,1
0.55,30,SS,OTU.171,1.548883658,0.023937032,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Ferruginibacter,uncultured_bacterium,NA,0.336182319
0.55,30,SS,OTU.440,0.415171577,0.797459485,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,uncultured,uncultured_bacterium,NA,1
0.55,30,SS,OTU.1408,0.173934879,0.924710012,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,uncultured,uncultured_bacterium,NA,1
0.55,30,SS,OTU.155,0.553031123,0.713634588,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Terrimonas,NA,NA,1
0.55,30,SS,OTU.113,1.66523281,0.011341494,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,uncultured,uncultured_bacterium,NA,0.188626958
0.55,30,SS,OTU.978,1.275381799,0.089550115,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,uncultured,uncultured_bacterium,NA,0.953881557
0.55,30,SS,OTU.153,0.349887695,0.862063972,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,uncultured,NA,NA,1
0.55,30,SS,OTU.80,0.552427986,0.705979266,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,uncultured,uncultured_bacterium,NA,1
0.55,30,SS,OTU.106,0.380915627,0.838101392,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,uncultured,NA,NA,1
0.55,30,SS,OTU.69,-0.012324753,0.974965954,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Parasegetibacter,uncultured_bacterium,NA,1
0.55,30,SS,OTU.376,-0.101278619,0.979096727,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,uncultured,uncultured_bacterium,NA,1
