"sparsity_threshold","Day","Treatment","OTU","log2FoldChange","p","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8","padj"
0.55,30,"13CCPS","OTU.783",0.656123375864984,0.549105191286901,"Bacteria","Acidobacteria","Holophagae","Sva0725",NA,NA,NA,NA,1
0.55,30,"13CCPS","OTU.2638",-0.482366420744144,0.978754875723413,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Flexibacter",NA,NA,1
0.55,30,"13CCPS","OTU.79",0.136730860284703,0.867380457738926,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Flexibacter","uncultured_bacterium",NA,1
0.55,30,"13CCPS","OTU.1011",-0.106925165495842,0.87798493177724,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Flexibacter","uncultured_bacterium",NA,1
0.55,30,"13CCPS","OTU.304",0.240520333126813,0.799784406200704,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Flexibacter","uncultured_bacterium",NA,1
0.55,30,"13CCPS","OTU.50",-0.57168038271571,0.996568793411244,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Flexibacter","uncultured_bacterium",NA,1
0.55,30,"13CCPS","OTU.1262",0.936527313569284,0.403151562786997,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Flexibacter","uncultured_bacterium",NA,1
0.55,30,"13CCPS","OTU.669",-1.46759332301191,0.999927001369395,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Flexibacter","uncultured_bacterium",NA,1
0.55,30,"13CCPS","OTU.543",-2.25467408195676,0.999996620588342,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Flexibacter","uncultured_Bacteroidetes_bacterium",NA,1
0.55,30,"13CCPS","OTU.465",-2.59756825209978,0.999999999934892,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Flexibacter","uncultured_bacterium",NA,1
0.55,30,"13CCPS","OTU.2034",-1.57773359876831,0.997854447645461,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Flexibacter","uncultured_bacterium",NA,1
0.55,30,"13CCPS","OTU.162",-0.595495116563907,0.985663988722531,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Flexibacter","uncultured_bacterium",NA,1
0.55,30,"13CCPS","OTU.1094",-2.01102977299293,0.999786180335102,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Sporocytophaga",NA,NA,1
0.55,30,"13CCPS","OTU.573",-5.14074522474239,0.999999999997101,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Adhaeribacter","uncultured_bacterium",NA,1
0.55,30,"13CCPS","OTU.156",-1.20133587384112,0.997604574602417,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Dyadobacter","uncultured_bacterium",NA,1
0.55,30,"13CCPS","OTU.710",-2.2289226981978,0.99986885819176,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","env.OPS_17","uncultured_bacterium",NA,NA,1
0.55,30,"13CCPS","OTU.12",0.693155285175515,0.559159681358211,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","uncultured","uncultured_Bacteroidetes_bacterium",NA,1
0.55,30,"13CCPS","OTU.122",0.071731892695316,0.827458259996337,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Ferruginibacter","uncultured_bacterium",NA,1
0.55,30,"13CCPS","OTU.141",0.16119965945535,0.776907052866155,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Lacibacter",NA,NA,1
0.55,30,"13CCPS","OTU.121",2.78980658218536,0.00112356975053397,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Ferruginibacter",NA,NA,0.0269188586065431
0.55,30,"13CCPS","OTU.171",2.53298796269138,0.00508316810315351,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Ferruginibacter","uncultured_bacterium",NA,0.0859653429209785
