"","p.value.13CCPS","p.value.13CXPS","OTU","Day"
"1",NA,"0.6332","OTU.1","1"
"2",NA,"0.6632","OTU.6","1"
"3",NA,"0.36","OTU.4","1"
"4",NA,"0.1952","OTU.4743","1"
"5",NA,"0.9056","OTU.5","1"
"6",NA,"0.8878","OTU.11","1"
"7",NA,"0.1787","OTU.2","1"
"8",NA,"0.0351","OTU.8","1"
"9",NA,"1e-04","OTU.9","1"
"10",NA,"0.0012","OTU.14","1"
"11",NA,"0.1665","OTU.19","1"
"12",NA,"0.6364","OTU.7","1"
"13",NA,"0.0011","OTU.159","1"
"14",NA,"0.5404","OTU.24","1"
"15",NA,"0.0013","OTU.6203","1"
"16",NA,"0.7863","OTU.64","1"
"17",NA,"0.7272","OTU.12","1"
"18",NA,"0.2373","OTU.57","1"
"19",NA,"0.7076","OTU.43","1"
"20",NA,"0.8128","OTU.31","1"
"21",NA,"0.3422","OTU.4322","1"
"22",NA,"0.6622","OTU.1623","1"
"23",NA,"0.3721","OTU.766","1"
"24",NA,"0.0038","OTU.3","1"
"25",NA,"0.1346","OTU.83","1"
"26",NA,"0.4975","OTU.68","1"
"27",NA,"0.0322","OTU.28","1"
"28",NA,"0.9375","OTU.120","1"
"29",NA,"0.1566","OTU.372","1"
"30",NA,"0.3574","OTU.22","1"
"31",NA,"0.8547","OTU.33","1"
"32",NA,"0.7454","OTU.25","1"
"33",NA,"2e-04","OTU.2379","1"
"34",NA,"0.1395","OTU.114","1"
"35",NA,"0.0345","OTU.165","1"
"36",NA,"0.6224","OTU.3507","1"
"37",NA,"0.5151","OTU.50","1"
"38",NA,"0.9803","OTU.38","1"
"39",NA,"0.3504","OTU.62","1"
"40",NA,"0.1295","OTU.37","1"
"41",NA,"0.018","OTU.48","1"
"42",NA,"0.4594","OTU.132","1"
"43",NA,"0.6689","OTU.5991","1"
"44",NA,"0.3927","OTU.18","1"
"45",NA,"0.6152","OTU.89","1"
"46",NA,"0.2642","OTU.40","1"
"47",NA,"0.839","OTU.77","1"
"48",NA,"0.1716","OTU.98","1"
"49",NA,"0.4619","OTU.10","1"
"50",NA,"0.4518","OTU.79","1"
"51",NA,"0.9645","OTU.32","1"
"52",NA,"0.9875","OTU.119","1"
"53",NA,"0.9653","OTU.20","1"
"54",NA,"0.921","OTU.13","1"
"55",NA,"0.606","OTU.257","1"
